ensembl	f65571bf-793a-43d5-93aa-c85bac4dca56.htseq.counts	0b3957f2-b010-44ef-8376-455427a5e158.htseq.counts	01ddf9de-8532-4a68-af48-fec5bed7e78d.htseq.counts	254023bc-c2bd-4d26-8f62-b18e2906037d.htseq.counts	4a7fa98b-c6cb-48a9-909e-41a7efde10b2.htseq.counts	14aa3bdb-5c34-4fb4-91b8-876faf41674d.htseq.counts	cb26f33d-b1b7-411a-9f21-7e3ea98694d9.htseq.counts	9a2b0bc5-8882-4aba-ac8a-51b1484b66ea.htseq.counts	fd700b77-843b-49a6-800d-545b5f2bab90.htseq.counts	f10cc48c-4566-41fd-8dbf-66393ee09d70.htseq.counts
ENSG00000173141	2176	2095	912	2929	2356	2908	2174	1874	2126	1141
ENSG00000173145	1021	1807	839	485	1329	1052	1114	1129	1337	654
ENSG00000173153	1666	2228	755	1519	779	1242	2046	1250	1001	1477
ENSG00000173156	48	33	24	9	816	595	116	861	347	763
ENSG00000173157	1	18	29	4	60	0	4	103	95	77
ENSG00000173163	1521	1721	848	1797	1131	1213	1222	1136	1260	555
ENSG00000173166	152	233	379	57	311	45	786	160	245	199
ENSG00000173171	1335	1102	819	719	860	786	805	774	1026	923
ENSG00000173175	73	201	2151	18	2139	71	72	1068	136	1872
ENSG00000173193	2458	10190	2326	3197	1991	7804	7412	2020	8453	1355
ENSG00000173198	35	172	326	44	38	140	300	418	147	25
ENSG00000173200	52	82	31	47	17	299	111	77	305	37
ENSG00000173207	1109	692	1154	592	2668	353	818	1078	2625	2461
ENSG00000173208	16	48	587	10	91	23	48	67	120	6
ENSG00000173209	1626	1561	3425	2871	1425	3047	1560	3227	2173	601
ENSG00000173210	3237	13651	3005	7186	1180	8155	4253	1114	8675	3028
ENSG00000173212	46	3	4	2	0	3	1	2	0	4
ENSG00000173213	9	8	2	1	62	32	9	10	13	41
ENSG00000173214	160	175	160	76	463	86	252	244	127	184
ENSG00000173218	3277	2142	1817	569	2858	672	1367	1449	2042	946
ENSG00000173221	946	1737	1283	1927	638	1363	1468	680	1218	640
ENSG00000173226	1469	1216	674	620	766	849	884	687	1497	2114
ENSG00000173227	263	21	47	953	90	154	171	787	29	89
ENSG00000173230	8527	8430	7016	4524	4326	5011	6200	5335	9502	6164
ENSG00000173231	0	0	0	0	0	0	0	0	0	0
ENSG00000173237	1	0	0	0	2	0	0	0	4	0
ENSG00000173239	2	29	0	40	1	46	35	3	31	5
ENSG00000173250	0	6	1	9	1	13	1	0	0	1
ENSG00000173253	6065	2	153	1	245	0	3	320	1612	7
ENSG00000173258	55	48	203	37	41	43	17	80	54	17
ENSG00000173261	22	15	49	32	7	16	10	17	15	22
ENSG00000173262	11	37	4	17	29	2	3	11	109	28
ENSG00000173264	2267	2838	1377	3331	2901	2444	2167	2088	1362	2709
ENSG00000173267	129	219	222	149	92	56	199	400	115	5355
ENSG00000173269	1230	3299	1455	330	515	842	2495	1205	662	1777
ENSG00000173272	1255	946	2011	1879	2799	1012	570	2055	1474	1683
ENSG00000173273	2338	4242	5079	2533	2166	2255	3603	4071	2117	4347
ENSG00000173275	508	500	353	264	1063	438	366	466	221	483
ENSG00000173276	2121	2927	1650	442	1632	544	1141	883	1693	698
ENSG00000173281	3353	2342	4365	1667	808	589	1317	2662	2315	1750
ENSG00000173285	0	0	0	0	0	0	0	0	0	0
ENSG00000173295	118	96	171	194	60	175	63	188	43	101
ENSG00000173302	0	0	0	0	0	0	0	0	0	0
ENSG00000173320	47	291	2164	309	3212	912	695	1022	70	790
ENSG00000173327	2851	16206	1877	12887	2394	6935	14544	2955	3592	8436
ENSG00000173334	1539	4873	320	3988	2059	1966	2675	997	2728	3462
ENSG00000173335	0	0	1	0	0	0	0	1	0	0
ENSG00000173338	19	33	24	101	7	21	45	26	19	24
ENSG00000173349	0	0	0	0	0	0	0	0	0	0
ENSG00000173357	0	0	0	0	0	0	0	0	0	0
ENSG00000173366	4	0	2	0	2	1	2	0	0	2
ENSG00000173369	8582	57087	680	66026	2665	52016	38659	5075	15081	2346
ENSG00000173372	8303	49380	1318	56922	2770	35062	31642	5574	17007	2413
ENSG00000173376	31	38	3077	36	2260	32	18	808	1072	537
ENSG00000173389	2	0	6	1	2	0	0	4	18	2
ENSG00000173391	276	10969	2	1668	89	7716	8850	49	350	101
ENSG00000173401	21	38	64	23	17	35	16	30	11	23
ENSG00000173402	7899	152918	4639	21099	8649	14597	116196	5976	4605	2785
ENSG00000173404	15	30	353	6	9	1	11	6	0	0
ENSG00000173406	42	7691	61	887	235	1211	2123	285	5	845
ENSG00000173409	447	671	935	543	483	992	881	915	471	563
ENSG00000173418	3385	3436	1562	3317	3086	2402	2260	2034	2101	2104
ENSG00000173421	410	9	45	2	208	9	27	197	101	256
ENSG00000173431	0	1	0	1	2	1	1	0	0	0
ENSG00000173432	8	2	1070	58	11	5	3	8	169	1
ENSG00000173436	2207	2073	957	1912	2206	1338	1125	756	1382	1219
ENSG00000173442	4216	9447	2005	5833	2884	6405	9236	4890	8692	2657
ENSG00000173451	975	505	685	251	1745	302	367	726	362	581
ENSG00000173452	6	1	12	0	631	0	0	156	0	238
ENSG00000173456	2775	2330	2095	1555	1718	2192	2504	2407	2506	3541
ENSG00000173457	2579	2570	719	3417	1954	2719	2987	1545	4015	4442
ENSG00000173464	0	0	0	0	0	0	0	0	0	0
ENSG00000173465	1177	1437	624	1440	829	861	909	655	1697	1561
ENSG00000173467	0	2	3	0	0	20	0	0	521	0
ENSG00000173473	9319	3843	2408	1267	11537	2669	5101	8731	9025	14698
ENSG00000173480	379	195	210	82	108	219	319	257	291	297
ENSG00000173482	7527	4086	7062	2955	4501	1969	2665	3186	1884	1323
ENSG00000173486	2586	4544	1399	8984	2190	3584	3291	2184	1729	2785
ENSG00000173511	4614	4948	2294	8375	4151	6152	4112	5931	2660	4265
ENSG00000173517	7019	6698	8398	1480	7386	3078	6523	5974	3772	1539
ENSG00000173530	180	2307	2561	4316	905	1247	1945	1989	2089	2318
ENSG00000173531	238	133	1011	540	345	435	277	1045	298	1119
ENSG00000173535	33	85	285	233	22	389	252	135	282	33
ENSG00000173540	2046	1558	1193	1131	1612	1124	1725	1129	1544	1238
ENSG00000173542	1811	2902	3220	1158	3327	2472	3652	1922	1925	1943
ENSG00000173545	2424	2583	1592	3121	1872	1384	1112	2139	1720	3045
ENSG00000173546	3245	33814	9393	57034	5799	5368	20652	4389	3141	2311
ENSG00000173548	5022	4419	3433	4070	2398	1859	3012	3318	7005	1444
ENSG00000173557	0	7	43	42	122	4	10	53	0	33
ENSG00000173559	1182	1202	767	1810	140	1398	1774	470	1274	527
ENSG00000173567	10	28	72	39	45	57	20	53	27	41
ENSG00000173572	0	0	0	0	0	0	0	0	0	0
ENSG00000173575	5212	7593	6227	3173	6586	3850	5945	6209	5076	5431
ENSG00000173578	21	86	17	9	23	54	239	34	333	9
ENSG00000173581	557	565	828	834	1344	2204	1701	664	874	942
ENSG00000173585	0	2	7	1	3	6	16	13	1	2
ENSG00000173588	1692	410	497	355	881	388	634	651	753	527
ENSG00000173597	7	22	12	43	4	19	37	28	46	35
ENSG00000173598	8301	9909	3527	1546	5000	7441	4114	2624	1826	1752
ENSG00000173599	3460	2557	770	2844	392	3075	2460	1049	889	1243
ENSG00000173610	0	0	0	1	1	0	0	0	0	0
ENSG00000173611	874	673	1225	535	1166	403	788	911	808	218
ENSG00000173612	0	0	0	0	3	0	0	1	0	1
ENSG00000173614	1231	772	686	575	665	671	775	432	438	361
ENSG00000173621	2446	717	864	922	1258	1444	1253	1006	2431	1316
ENSG00000173626	8	17	5	1	99	8	11	38	5	26
ENSG00000173627	0	0	0	0	0	0	0	0	0	0
ENSG00000173638	878	604	724	750	2175	813	519	1390	1775	2292
ENSG00000173641	38	9	1529	11	296	27	16	1133	61	420
ENSG00000173653	1400	1031	679	969	1012	549	971	879	1559	2120
ENSG00000173660	6686	5007	3024	5981	3132	2778	4437	3785	4743	8820
ENSG00000173662	3	1	547	4	129	18	1	63	6	15
ENSG00000173673	0	0	0	0	2	0	0	1	0	0
ENSG00000173674	3215	5094	4184	2997	7888	3087	3203	5798	4107	6560
ENSG00000173678	0	0	1	1	2	0	1	0	0	1
ENSG00000173679	0	0	0	0	0	0	0	0	0	0
ENSG00000173681	579	875	550	485	499	939	581	568	514	387
ENSG00000173692	2408	8624	5737	7437	8493	4153	6727	4107	6485	5368
ENSG00000173698	11	13	1165	53	10034	16	34	2746	13	99
ENSG00000173699	0	0	1	0	0	0	0	0	0	0
ENSG00000173702	26	5	10	2	21	3	3	10	1	5
ENSG00000173705	11	1742	1481	41	1614	73	48	1376	1014	316
ENSG00000173706	6940	7258	3460	1235	1920	1599	4662	2456	11154	4035
ENSG00000173714	24	32	6	4	113	3	42	473	5	246
ENSG00000173715	539	118	153	101	538	378	374	395	450	468
ENSG00000173726	6160	11651	11474	6704	7069	8080	10528	17557	7825	15189
ENSG00000173727	959	125	587	441	336	152	155	117	102	182
ENSG00000173728	7	0	3	4	4	2	4	6	5	10
ENSG00000173744	2734	6318	4059	4279	6253	2636	8288	3142	3089	2963
ENSG00000173757	2936	5588	7699	2937	7753	4018	3059	6740	2835	2382
ENSG00000173762	67	470	167	569	2770	383	450	926	844	44
ENSG00000173769	0	0	0	0	0	3	0	0	0	1
ENSG00000173786	5594	46344	8272	25133	10922	63482	34004	6221	4590	3719
ENSG00000173801	1957	1970	3693	589	5677	4231	2991	4697	3105	11162
ENSG00000173805	4	1084	44	1877	109	4543	137	96	13	23
ENSG00000173809	21	9	46	12	454	16	34	11	5	22608
ENSG00000173810	0	3	1	0	0	0	1	2	0	0
ENSG00000173811	7	22	5	28	12	64	26	18	4	19
ENSG00000173812	39359	72018	34561	77340	33009	38587	39522	36818	28897	10812
ENSG00000173818	1774	659	2134	1380	2565	880	606	1706	1309	307
ENSG00000173821	10103	21200	10712	11713	9594	14068	20408	8472	11294	2126
ENSG00000173825	27	39	20	40	57	23	40	25	42	15
ENSG00000173826	3	1	5	14	14	1	1	10	2	5
ENSG00000173838	13	12	20	141	10	10	17	11	7	7
ENSG00000173846	1122	6312	538	2716	350	2062	3990	542	956	1363
ENSG00000173848	1641	559	6888	997	6665	2134	1191	4745	2534	13722
ENSG00000173852	3416	5537	6285	3246	10513	1196	4388	2713	4697	1440
ENSG00000173862	0	2	5	0	1	9	2	4	0	1
ENSG00000173867	9	12	25	14	16	16	12	27	6	18
ENSG00000173868	11	158	88	115	42	140	173	18	28	9
ENSG00000173875	5645	3089	2831	916	244	1744	2179	1442	2662	1871
ENSG00000173889	2131	2957	1922	712	4087	1123	2000	2592	2332	1207
ENSG00000173890	72	746	73	257	37	372	516	133	314	47
ENSG00000173894	795	305	4460	219	11457	137	433	4139	1696	6701
ENSG00000173898	47	75	660	28	2187	89	82	1235	1281	1557
ENSG00000173905	20089	4135	13069	1527	11639	1771	5598	6794	9735	5540
ENSG00000173908	1	0	0	1	0	0	0	0	0	1
ENSG00000173914	1653	1159	1071	725	2005	1230	964	1286	904	1908
ENSG00000173915	2294	3156	1007	3392	2235	2745	2230	2800	2356	1961
ENSG00000173917	853	1905	939	1889	1403	1012	735	1030	4558	735
ENSG00000173918	4045	11605	17395	4957	3622	4308	3300	1882	1976	899
ENSG00000173926	333	883	1566	737	1196	737	777	446	1980	674
ENSG00000173928	481	149	115	135	40	158	170	56	216	358
ENSG00000173930	0	0	8	0	166	1	3	203	93	30
ENSG00000173933	647	773	464	400	1011	517	772	1051	657	1824
ENSG00000173947	239	56	196	201	27	267	45	119	28	39
ENSG00000173950	2062	1038	1980	994	7517	638	1034	2079	2027	1776
ENSG00000173954	0	0	0	0	3	1	1	0	0	0
ENSG00000173960	1213	3162	1305	2495	2604	1904	3015	2093	964	2937
ENSG00000173966	1	1	0	0	0	0	0	0	0	0
ENSG00000173976	1	1	0	0	105	0	1	6	0	2
ENSG00000173988	29	4	28	12	24	6	14	22	9	12
ENSG00000173991	93	210	548	403	289	63	86	258	43	148
ENSG00000173992	2187	2110	795	2956	2872	2266	1437	2257	1357	3079
ENSG00000174004	198	1102	434	220	419	2665	715	713	531	818
ENSG00000174007	567	329	253	356	536	361	202	410	129	333
ENSG00000174010	959	972	1463	376	2996	325	717	1190	1088	1699
ENSG00000174013	2084	1936	717	884	1503	922	1299	1129	1824	1708
ENSG00000174015	0	0	0	1	57	1	2	0	0	4
ENSG00000174016	0	1	0	0	0	1	1	7	0	0
ENSG00000174021	5515	5153	1366	4651	2056	4355	3734	1857	5139	7558
ENSG00000174028	85	182	411	130	352	50	149	181	57	68
ENSG00000174032	610	1197	599	362	1049	789	1359	761	372	651
ENSG00000174038	0	2	1	0	2	1	6	8	0	2
ENSG00000174059	2574	4450	10843	942	4332	1829	7117	3116	1499	5196
ENSG00000174080	2580	5525	5297	3307	2991	6812	2981	5389	2707	4976
ENSG00000174099	1987	2031	4793	618	4720	320	1889	2984	2062	759
ENSG00000174106	1385	2028	3005	742	6682	1030	1864	2810	1596	2074
ENSG00000174109	957	621	851	972	842	437	487	355	897	663
ENSG00000174123	3	541	20	72	10	883	713	15	83	8
ENSG00000174125	278	3178	320	581	107	1646	1660	495	420	68
ENSG00000174130	226	1188	67	350	141	593	757	358	530	62
ENSG00000174132	666	1647	1810	1910	935	650	767	792	673	500
ENSG00000174136	1051	5054	685	1445	1029	613	1633	1588	6823	1154
ENSG00000174137	78	62	252	87	193	73	73	101	66	233
ENSG00000174145	0	2	0	2	9	1	0	1	0	29
ENSG00000174151	1057	1452	563	552	614	1231	1279	649	781	754
ENSG00000174156	0	0	1	0	0	0	0	0	0	0
ENSG00000174165	1800	1961	865	1630	685	1591	1158	939	986	419
ENSG00000174171	2	4	11	2	5	14	20	17	26	5
ENSG00000174173	1485	1211	851	844	983	915	938	636	1127	1572
ENSG00000174175	8	729	262	16	1	132	440	17	82	1
ENSG00000174177	1140	1041	674	1389	1057	1074	1172	755	1736	1875
ENSG00000174197	4206	1896	4517	1023	6183	1268	2168	4242	2706	2129
ENSG00000174206	223	543	260	402	819	412	512	667	385	366
ENSG00000174225	6	13	24	0	14	16	11	12	5	4
ENSG00000174226	9	11	2	1	8	0	9	5	0	13
ENSG00000174227	1878	2679	4500	2998	2403	2216	3202	2758	2238	2102
ENSG00000174231	15484	16570	14728	10515	22947	11777	15947	16546	12724	10383
ENSG00000174233	1623	22576	5781	6369	7191	3052	44978	5674	5681	2306
ENSG00000174236	86	58	10	147	4	6	32	19	17	7
ENSG00000174238	4272	7701	3484	4799	5857	6241	6687	2736	3024	2616
ENSG00000174243	6661	7395	8338	7410	13511	3820	5444	11331	12239	8161
ENSG00000174255	7	2	1	0	1	13	5	12	19	17
ENSG00000174276	607	672	422	1280	518	612	453	467	954	590
ENSG00000174279	0	1	119	0	332	0	1	129	0	1
ENSG00000174282	5075	9786	6724	4302	3938	7566	7169	3395	3888	1621
ENSG00000174292	10	20	273	34	640	1061	44	392	164	51
ENSG00000174306	3844	3473	7814	1261	6754	959	1114	2097	2272	2920
ENSG00000174307	3569	9244	2972	9666	3316	9181	14520	3968	2002	2366
ENSG00000174325	20	0	3	1	1	1	8	8	0	1
ENSG00000174326	16	9	111	71	128	362	35	107	51	31
ENSG00000174327	111	113	225	114	273	143	155	137	202	89
ENSG00000174332	1376	6	488	5	269	11	27	231	5	158
ENSG00000174339	0	0	0	0	0	0	0	0	0	0
ENSG00000174343	509	1	1	24	35	3	0	105	2	3
ENSG00000174348	12347	321	1270	18	1576	1368	887	2200	992	339
ENSG00000174353	27	63	175	82	32	72	59	91	29	34
ENSG00000174358	0	0	2	0	0	0	0	0	1	0
ENSG00000174365	878	438	777	865	968	530	503	401	288	1137
ENSG00000174370	34	301	105	133	15	244	388	100	177	76
ENSG00000174371	825	78	201	157	1766	56	281	441	1048	810
ENSG00000174373	591	709	1351	359	2049	803	1017	1189	205	875
ENSG00000174384	0	2	5	4	0	3	4	2	1	4
ENSG00000174403	0	0	159	131	76	4	8	80	0	1
ENSG00000174405	805	1301	408	420	933	734	1610	937	634	536
ENSG00000174407	0	0	3	2	0	0	0	4	0	0
ENSG00000174408	0	0	0	0	1	0	0	2	0	0
ENSG00000174417	2	1	0	0	0	1	1	2	0	0
ENSG00000174418	0	0	0	0	0	2	0	1	0	0
ENSG00000174428	250	196	962	126	390	464	136	482	114	118
ENSG00000174429	1	1	0	1	0	3	0	0	2	0
ENSG00000174437	17181	19280	14974	12878	18442	8301	21137	13242	20941	16069
ENSG00000174442	1985	1035	763	678	3960	597	1025	1119	2850	961
ENSG00000174444	67536	64994	41208	68492	65607	51189	58388	133060	67325	66190
ENSG00000174446	721	2730	1287	2183	1325	1084	1287	941	783	592
ENSG00000174448	3	9	9	8	7	37	15	8	16	2
ENSG00000174450	0	0	0	0	1	0	0	0	1	2
ENSG00000174453	26	2	1	5	9	119	2	2	1	4
ENSG00000174456	1128	1770	924	1603	727	1963	1213	922	594	1113
ENSG00000174460	1	18	6	15	524	12	17	219	2	318
ENSG00000174469	27	98	984	2	451	70254	5	411	9	288
ENSG00000174473	8	9	5	17	67	6	3	34	17	198
ENSG00000174482	312	139	3	235	54	36	131	30	524	20
ENSG00000174483	181	122	176	58	137	113	89	146	111	124
ENSG00000174485	1900	2941	1215	986	1586	1253	1630	1653	1622	402
ENSG00000174495	2	0	0	0	0	0	1	1	0	0
ENSG00000174498	53	20	119	19	2107	2	19	397	39	22185
ENSG00000174500	47	30	59	4	20	50	42	23	123	57
ENSG00000174501	163	93	225	38	256	88	49	154	157	243
ENSG00000174502	7	5	45	0	6	3	2	1	143	3
ENSG00000174514	27	72	1290	48	2922	247	73	791	162	145
ENSG00000174516	1166	1272	691	934	863	931	160	591	521	201
ENSG00000174521	33	30	10	47	16	27	8	7	15	55
ENSG00000174527	8	12	11	13	15	17	11	22	5	27
ENSG00000174529	157	106	264	147	393	177	145	218	99	385
ENSG00000174547	1980	2115	992	2541	1829	1584	1420	1490	2882	2697
ENSG00000174562	1	0	1	0	1	0	0	1	0	1
ENSG00000174564	657	3480	48	287	34	38	59	35	2923	72
ENSG00000174567	1	2	1	1	3	14	0	25	39	3
ENSG00000174572	2	1	3	1	0	1	0	5	0	1
ENSG00000174574	2206	4947	2664	1909	3538	2200	3561	1637	3230	4552
ENSG00000174576	6	1	4	0	7	3	2	1	18	2
ENSG00000174579	2391	2179	1702	874	2278	1373	1906	1280	2817	2289
ENSG00000174586	134	82	171	64	408	118	107	174	212	144
ENSG00000174599	11	495	2022	341	842	361	202	732	153	736
ENSG00000174600	2400	3156	1262	2158	442	1096	2732	2668	1614	1153
ENSG00000174606	1100	1232	2415	653	3857	1496	1483	1835	952	1314
ENSG00000174607	2	4799	642	3367	607	5649	15681	97	942	195
ENSG00000174611	1	2	14	0	14	47	2	4	33	9
ENSG00000174628	478	192	372	159	269	286	293	137	421	175
ENSG00000174640	594	1405	3475	17	10012	543	2319	511	883	254
ENSG00000174652	3981	943	2520	1186	184	1510	1301	1922	1333	1858
ENSG00000174667	0	0	0	0	0	0	0	0	0	0
ENSG00000174669	142	72	273	95	660	414	82	238	282	360
ENSG00000174672	24	205	77	66	81	160	87	161	9	50
ENSG00000174677	0	0	0	0	1	0	0	0	0	0
ENSG00000174678	2	0	0	0	10	0	0	0	0	2
ENSG00000174680	41	10	7	27	10	11	9	7	4	15
ENSG00000174684	1651	4263	2161	6380	4924	6539	2583	3339	1396	1205
ENSG00000174695	10692	9271	9886	4349	9870	3570	8051	7364	3986	6646
ENSG00000174697	87	0	1284	0	2	0	0	69	10	0
ENSG00000174705	19609	4600	5854	2469	11455	6072	2725	5514	6716	3798
ENSG00000174715	2	0	1	1	5	6	0	0	0	0
ENSG00000174718	2972	2168	1526	1008	3023	1686	2514	1954	2777	2194
ENSG00000174720	2391	3316	2927	2224	2544	2541	2417	1559	2928	2257
ENSG00000174721	132	122	410	55	372	122	254	130	30	283
ENSG00000174738	5003	3232	7056	844	7506	1744	2268	3878	3505	1274
ENSG00000174740	12	104	553	12	314	94	118	629	21	242
ENSG00000174744	4893	4177	889	4514	1621	2571	2345	1204	4367	2755
ENSG00000174748	46623	41823	23977	34636	47204	37322	35725	83775	40540	44318
ENSG00000174749	164	1184	934	234	734	202	532	690	472	2767
ENSG00000174775	2065	1792	908	5052	1100	2594	2177	1765	2151	917
ENSG00000174776	2	15	0	7	2	40	15	0	17	3
ENSG00000174780	8438	7672	7055	3230	7770	3448	5753	6815	4541	7214
ENSG00000174788	1	5	4	18	3	20	9	15	32	8
ENSG00000174791	1214	1041	310	1936	946	691	794	552	3782	909
ENSG00000174792	3	4	2	19	1	2	0	5	5	5
ENSG00000174796	1066	810	1287	586	762	545	843	801	683	469
ENSG00000174799	983	511	732	159	1185	436	560	908	613	805
ENSG00000174804	1804	2455	4256	685	2339	925	2367	6973	990	3353
ENSG00000174807	16512	1610	11900	302	22869	607	5006	9213	5174	5208
ENSG00000174808	0	13811	10	1894	185	1209	1279	94	68	21
ENSG00000174827	16	18	50	12	32	14	14	44	10	34
ENSG00000174837	80	1261	8	612	2	547	449	25	197	5
ENSG00000174839	2216	2661	1261	835	2152	1723	2130	1418	1656	1379
ENSG00000174840	1778	3061	1308	796	3111	1157	1890	1282	1694	1529
ENSG00000174842	785	220	444	175	394	281	406	248	593	650
ENSG00000174844	13	7	900	16	612	12	30	91	6	8
ENSG00000174851	6143	4418	1586	6050	3424	3899	3330	2991	4819	3830
ENSG00000174871	277	57	70	242	589	56	55	127	1020	270
ENSG00000174876	0	0	0	0	0	0	0	0	2	0
ENSG00000174885	1	34	47	76	51	27	22	44	12	8
ENSG00000174886	7519	3733	2209	5479	3534	2598	2015	2261	4591	2897
ENSG00000174891	1743	1656	841	574	1685	935	911	1583	1899	1654
ENSG00000174898	0	1	0	3	1	0	5	2	0	0
ENSG00000174899	54	5	14	1	17	233	22	19	23	57
ENSG00000174903	11453	13228	4800	10165	6960	10392	11404	6733	8246	9123
ENSG00000174912	12	13	27	1	30	6	35	17	20	16
ENSG00000174914	0	0	0	0	0	0	0	0	0	0
ENSG00000174915	1373	1977	1205	5921	1747	2779	2509	2018	1793	1756
ENSG00000174917	6891	3200	2194	2918	1180	3070	2597	1829	2897	1823
ENSG00000174928	123	411	452	245	508	418	125	396	109	168
ENSG00000174930	0	0	0	0	0	0	0	0	0	0
ENSG00000174937	0	0	0	0	0	0	0	0	0	0
ENSG00000174938	549	7106	5436	14306	20347	4552	6571	8428	3705	5978
ENSG00000174939	110	1422	57	6522	259	658	1536	221	793	164
ENSG00000174942	0	0	0	0	0	0	0	0	0	0
ENSG00000174943	1419	1942	1105	2159	1519	1403	2175	1200	572	1055
ENSG00000174944	10	127	72	7	8	78	733	38	159	216
ENSG00000174945	46	28	18	188	26	39	199	54	118	61
ENSG00000174946	12	55	7	23	10	49	56	48	225	7
ENSG00000174948	7	0	17	0	12	1	0	3	0	0
ENSG00000174950	0	0	4	1	4	0	0	0	28	0
ENSG00000174951	37	69	76	70	43	38	132	43	212	32
ENSG00000174953	3465	4924	2654	1107	5118	2155	3254	4957	3219	3970
ENSG00000174957	0	0	0	0	0	0	0	0	0	0
ENSG00000174963	502	1	1451	35	637	83	83	839	234	398
ENSG00000174970	0	0	0	0	0	0	0	0	0	0
ENSG00000174977	206	200	173	387	258	141	74	163	108	219
ENSG00000174982	0	0	0	0	0	0	0	0	0	0
ENSG00000174989	1918	1342	1733	363	2370	536	877	2386	1599	1504
ENSG00000174990	22	3	6	8	6	16	8	2	3	0
ENSG00000174992	0	0	0	0	0	0	0	0	0	1
ENSG00000174996	4473	2954	1487	1396	2116	1992	1150	1203	3092	2119
ENSG00000175003	65	15	25	34	10	11	13	31	243	46
ENSG00000175018	0	0	46	0	78	0	0	53	0	0
ENSG00000175029	4058	3477	2801	1547	7460	1597	3330	4390	3299	3426
ENSG00000175040	1406	1109	703	1504	8199	2248	4075	2771	2144	1762
ENSG00000175048	1486	1251	1221	837	1197	1520	1024	633	564	545
ENSG00000175054	1847	1715	1210	824	1037	1106	1798	952	1578	1075
ENSG00000175061	10381	7915	10247	4943	7534	5164	7644	15742	7371	9092
ENSG00000175063	2178	287	947	2770	8297	256	822	1006	3151	3241
ENSG00000175065	1	0	0	0	0	0	0	0	0	0
ENSG00000175066	705	1330	982	1420	1157	1009	1428	756	492	409
ENSG00000175073	1779	2045	1398	1089	3188	1139	2082	1368	2081	1352
ENSG00000175077	0	0	0	1	0	1	0	0	0	0
ENSG00000175084	87	26	50	24	3068	78	15	820	6522	10687
ENSG00000175087	944	1102	571	381	937	500	778	455	533	535
ENSG00000175093	425	19	267	15	616	19	278	108	679	516
ENSG00000175097	1	0	0	0	1	4	1	1	5	1
ENSG00000175104	666	639	514	214	1654	676	638	699	747	336
ENSG00000175105	1214	1346	884	328	812	443	1053	1310	1013	714
ENSG00000175106	62	65	163	191	67	104	116	71	164	128
ENSG00000175110	1570	1701	980	1190	1888	1253	1368	844	1775	1746
ENSG00000175115	7589	7225	2700	3650	5902	9067	6572	4930	10463	3153
ENSG00000175121	0	0	0	0	1	0	1	7	0	0
ENSG00000175130	3188	3467	2332	19735	11825	9335	9753	5904	5174	33557
ENSG00000175137	2562	1947	2999	1307	2582	1983	2968	3123	1695	4606
ENSG00000175143	0	0	0	0	0	0	0	0	0	0
ENSG00000175147	42	72	49	171	31	37	82	34	62	16
ENSG00000175155	1647	1819	5073	1522	1362	1059	6079	1592	670	810
ENSG00000175161	1	336	3304	40	4082	0	33	652	1	12
ENSG00000175164	62	132	79	39	289	56	33	1243	202	114
ENSG00000175166	18134	17819	5112	10594	25067	8289	10284	8518	52850	11592
ENSG00000175170	78	31	45	13	20	411	12	86	15	52
ENSG00000175175	12	33	250	152	1145	18	295	214	174	47
ENSG00000175182	902	1967	1342	991	3090	964	906	1129	1398	1009
ENSG00000175183	3423	737	1240	2612	7221	10299	632	4127	1747	1501
ENSG00000175189	2	5	14	13	32	2	8	31	11	15
ENSG00000175193	1295	3490	1610	3585	5572	2219	2265	2807	2910	2650
ENSG00000175197	1472	5798	1811	5888	2184	1140	1961	2456	945	1201
ENSG00000175198	1357	1141	429	1201	1102	789	1012	1108	817	1096
ENSG00000175202	2	1	0	2	2	0	0	0	0	0
ENSG00000175203	7444	10490	6062	8483	12013	8692	8612	7484	8035	7749
ENSG00000175206	15	10	13	4	0	16	9	2	7	6
ENSG00000175213	5484	658	653	1074	1033	651	772	820	1063	1549
ENSG00000175215	14194	22770	12555	6866	32640	11187	18053	23317	10633	19464
ENSG00000175216	20642	5111	5237	4101	19405	6078	6212	7330	10170	15754
ENSG00000175220	50446	7125	4627	4641	6046	6891	8769	6485	9301	7342
ENSG00000175221	2863	3562	5382	2609	2701	3843	2721	4929	2636	3241
ENSG00000175224	11586	6808	2762	5562	4404	4532	5708	3909	6136	7006
ENSG00000175229	2	0	5	0	212	17	9	48	0	79
ENSG00000175262	16	37	10	31	13	39	59	27	8	12
ENSG00000175264	190	4627	680	9362	749	58	1755	601	395	1487
ENSG00000175265	86	698	3810	1763	2663	1902	549	5455	1203	1185
ENSG00000175267	4	8	103	47	21	15	21	23	1	2
ENSG00000175274	2690	3611	3109	1417	4574	1913	4044	4986	3935	10743
ENSG00000175279	156	72	97	283	152	162	86	89	142	131
ENSG00000175283	1551	1637	950	1999	1524	1577	1545	1497	931	640
ENSG00000175287	171	100	932	42	363	1106	291	995	206	194
ENSG00000175294	29	105	9	166	21	104	188	22	61	13
ENSG00000175302	57	2	3	0	0	1	3	2	1	1
ENSG00000175305	837	88	190	63	1615	54	157	202	363	75
ENSG00000175309	970	2061	3940	2146	1019	2575	1902	2523	1162	930
ENSG00000175311	2	1	35	1	1	0	0	1	3	2
ENSG00000175315	20	21	1	208	29	104	1702	56	90	10
