ensembl	fca51e84-4783-4e3a-b4a0-85371ce84e43.htseq.counts	cb9beb00-4b21-454f-a865-726bd8120d46.htseq.counts	c1b63308-8e44-46e6-9d83-10e4f69898ff.htseq.counts	6b765cb3-2593-4776-bdfa-a560bc79ff52.htseq.counts	be630f1e-165e-45b7-b4f8-e80ac3ebe323.htseq.counts	d6b51a36-7ce9-4044-809b-e48e9213abd8.htseq.counts	5f86524f-b1b9-4511-9f23-3d5b34bb8cf4.htseq.counts	17fd8633-6271-45f3-9e8a-60d093be9e6b.htseq.counts	23758664-22b8-4bc5-9a03-061619380b20.htseq.counts	44db1348-8a8c-4ef2-99e9-e5a13a9c81ec.htseq.counts
ENSG00000172468	0	0	0	0	0	0	0	0	0	0
ENSG00000172469	2555	307	357	187	440	1236	737	366	1417	39
ENSG00000172476	82	49	29	24	14	14	33	32	95	19
ENSG00000172478	4	65	405	2	11	1	22	1537	40	313
ENSG00000172482	2	24	2	0	33	0	12	12	18	11
ENSG00000172487	0	0	0	1	0	0	0	0	0	0
ENSG00000172489	0	0	0	0	0	0	0	0	0	0
ENSG00000172493	2111	792	725	446	2279	5784	3277	1250	4723	441
ENSG00000172497	0	2	1	2	2	2	0	0	2	0
ENSG00000172500	4865	6880	4857	6512	4195	3980	2845	10409	4971	4114
ENSG00000172508	2559	1343	738	1032	2174	197	2162	1523	2699	1361
ENSG00000172519	0	0	0	0	0	0	0	0	0	0
ENSG00000172530	950	338	600	609	708	755	712	596	685	322
ENSG00000172531	6424	8012	8829	8678	8542	9100	5152	11405	8894	6583
ENSG00000172534	12298	3484	3616	4760	5668	9224	6375	7329	15044	2537
ENSG00000172538	0	0	1	1	0	0	0	1	0	3
ENSG00000172543	53	11	73	84	9	30	93	11	34	89
ENSG00000172548	3	3	0	3	16	2	0	77	6	1
ENSG00000172551	0	0	0	2	0	0	1	1	0	0
ENSG00000172554	232	0	26	1	153	61	11	318	14	38
ENSG00000172568	0	2	0	0	1	0	1	0	2	0
ENSG00000172572	151	125	183	252	287	140	1276	146	219	102
ENSG00000172575	39	20	26	7	15	17	20	50	27	14
ENSG00000172578	26	6	15	13	147	37	84	63	53	30
ENSG00000172586	1288	1159	1855	2010	1959	1597	924	3074	1272	1844
ENSG00000172590	1697	2548	2056	3154	2042	1905	1133	3983	1505	8481
ENSG00000172594	49	92	69	44	273	108	244	70	149	10
ENSG00000172602	86	72	75	102	799	115	84	2231	74	22
ENSG00000172613	1884	758	1013	1272	1214	1319	556	1255	2749	1243
ENSG00000172638	7484	9150	9151	10220	8163	7229	7279	17855	11536	3343
ENSG00000172640	1	0	1	0	1	1	6	1	10	2
ENSG00000172650	18	0	3	2	9	14	13	0	25	0
ENSG00000172661	2121	1281	1115	1230	1818	2053	2652	2096	2858	975
ENSG00000172663	1649	1813	2331	1690	2092	1563	1151	2920	2005	1459
ENSG00000172667	2580	1996	611	1363	1215	3313	1758	2581	3714	516
ENSG00000172671	1002	210	410	327	448	779	629	445	991	179
ENSG00000172673	1	0	5	1	10	2	17	2	1	0
ENSG00000172680	0	0	0	0	0	0	0	0	0	0
ENSG00000172687	647	512	554	275	358	666	598	409	524	54
ENSG00000172689	0	0	0	0	0	2	0	1	0	0
ENSG00000172716	6602	1652	978	383	1830	979	3500	1636	3485	287
ENSG00000172717	2	8	9	13	6	6	2	13	6	15
ENSG00000172724	2	0	1	2	129	2	15	15	1	6
ENSG00000172725	5112	5480	5465	4398	4211	4751	3834	8426	6147	4450
ENSG00000172728	633	210	397	170	383	496	459	425	854	139
ENSG00000172731	1979	850	976	880	3232	633	853	951	851	1124
ENSG00000172732	2679	1820	2535	2309	1892	3427	1574	3242	3323	655
ENSG00000172733	499	163	124	402	210	249	222	43	212	180
ENSG00000172738	18	41	51	6	26	11	26	78	34	17
ENSG00000172742	0	0	0	1	0	0	0	0	0	1
ENSG00000172746	7	1	6	3	3	6	1	26	3	7
ENSG00000172748	490	212	204	178	174	372	332	304	939	84
ENSG00000172752	5	2	0	0	1	0	55	1	12	5
ENSG00000172757	34688	43766	43995	44694	41221	40500	16939	77030	35152	24234
ENSG00000172765	2179	752	798	953	1628	2024	1598	2286	2634	750
ENSG00000172766	1380	619	479	413	624	1179	795	958	1111	111
ENSG00000172769	0	0	0	0	0	0	0	0	0	0
ENSG00000172771	34	8	15	15	26	7	20	11	49	17
ENSG00000172772	0	0	0	0	0	0	0	1	0	0
ENSG00000172774	0	0	0	0	0	0	0	0	0	0
ENSG00000172775	4809	2743	2449	3757	3083	3820	3217	5151	4476	2416
ENSG00000172780	64	11	6	13	34	53	72	45	130	7
ENSG00000172782	0	4	3	3	0	4	0	9	0	3
ENSG00000172785	803	374	382	280	378	372	506	1252	864	414
ENSG00000172789	87	1	12	0	69	39	0	29	104	1
ENSG00000172794	139	99	136	59	120	52	66	60	117	173
ENSG00000172795	3659	1819	1712	1977	1477	3231	3118	2528	2240	913
ENSG00000172799	1	0	20	12	5	1	12	5	1	0
ENSG00000172803	571	920	401	1018	425	1074	222	1980	1003	319
ENSG00000172809	33976	38226	37261	52676	25061	36815	16160	78085	25295	82588
ENSG00000172817	403	10	38	33	67	202	96	247	349	33
ENSG00000172818	22	89	463	17	14	8	52	456	58	6
ENSG00000172819	12602	10960	8914	7666	9099	11579	11354	15038	16909	2399
ENSG00000172824	571	533	167	774	203	1395	853	905	1115	319
ENSG00000172828	331	33	382	19	165	11	98	64	21	110
ENSG00000172830	1951	1244	2232	1180	1056	1567	1557	2532	3209	428
ENSG00000172831	3902	2386	1048	1850	3473	3030	3789	3200	4502	559
ENSG00000172840	1685	391	289	507	305	1393	644	770	1142	358
ENSG00000172845	9945	2168	2564	1963	3392	7129	5648	3768	10340	614
ENSG00000172867	5	0	0	3	0	7	2	5	0	1
ENSG00000172869	4433	1286	1134	627	935	2521	2775	1221	4180	554
ENSG00000172878	1143	552	420	803	655	1488	538	1291	777	274
ENSG00000172888	1229	679	514	485	724	617	1503	859	1601	160
ENSG00000172889	3273	7085	3510	5799	6779	4377	4444	6273	2196	65331
ENSG00000172890	1604	2583	1636	1617	1676	1865	1367	3644	2046	2027
ENSG00000172893	1748	2540	1774	759	1013	673	749	3851	2412	1122
ENSG00000172900	14	3	3	1	19	3	0	2	0	3
ENSG00000172901	11	15	3	6	9	5	21	10	38	15
ENSG00000172912	0	0	0	0	0	0	0	0	0	0
ENSG00000172915	6185	430	571	359	633	707	970	406	1468	255
ENSG00000172922	3132	3485	2737	4714	2325	2897	1604	4616	1814	11351
ENSG00000172927	4	110	208	1	6	2	0	47	20	18
ENSG00000172932	1749	1860	2905	3046	2219	2036	1349	2388	2241	1933
ENSG00000172935	1479	201	196	91	1140	680	229	4437	682	2634
ENSG00000172936	1304	871	1199	886	1703	1508	1791	3015	1803	49
ENSG00000172938	0	0	0	1	0	0	0	3	1	0
ENSG00000172939	2668	1692	1080	1650	2329	3742	2793	4246	2097	556
ENSG00000172940	2	0	2	3	0	0	0	3	3	0
ENSG00000172943	3537	1444	1128	879	2119	2847	2747	1583	3999	133
ENSG00000172954	1087	322	428	290	401	587	388	663	777	122
ENSG00000172955	49	22	6	20	12	37	6	34	33	0
ENSG00000172965	387	807	481	552	1886	717	572	5194	660	889
ENSG00000172967	0	0	0	0	1	0	1	0	0	2
ENSG00000172969	2	10	0	2	3	0	3	0	2	2
ENSG00000172971	2	0	3	0	2	1	2	6	6	4
ENSG00000172974	360	48	81	44	30	197	102	193	36	0
ENSG00000172977	2354	1094	1783	1345	1395	2201	1539	2572	2806	44
ENSG00000172985	5973	3679	2199	2367	3779	6681	6298	6242	3266	6432
ENSG00000172986	1389	465	584	259	1608	2715	2801	951	1368	353
ENSG00000172987	27	3	68	120	59	3	80	1	28	1
ENSG00000172992	4835	3244	3749	2897	2348	4232	2961	3932	3853	1240
ENSG00000172995	1	0	0	7	1226	0	0	18	37	7
ENSG00000173011	2020	2230	1593	1208	1961	2391	2403	1616	2801	697
ENSG00000173013	89	92	158	55	154	122	122	111	246	74
ENSG00000173020	7029	5310	4914	7497	6478	8137	4249	6230	7058	6298
ENSG00000173039	6874	4209	5549	5859	4401	6686	4779	14423	8807	2777
ENSG00000173040	1889	465	756	1124	1146	1233	1527	1146	1625	258
ENSG00000173041	797	337	430	187	448	901	733	331	869	65
ENSG00000173064	5262	1884	1753	1350	3403	3365	2787	1928	5418	783
ENSG00000173065	1822	906	1348	1071	1104	1695	1755	1002	2163	256
ENSG00000173068	2627	4882	540	2473	1625	2811	3715	1677	19808	185
ENSG00000173077	19	87	8	0	4	12	34	34	40	3
ENSG00000173080	7	6	0	0	0	0	3	0	4	29
ENSG00000173083	22	60	67	23	111	36	186	93	85	13
ENSG00000173085	545	341	690	373	808	512	579	1127	476	203
ENSG00000173088	6	4	5	3	7	6	3	1	11	12
ENSG00000173093	1	1	4	1	21	1	1	0	2	3
ENSG00000173110	27	35	1	17	93	30	5	145	38	44
ENSG00000173113	10273	8820	8086	9845	7357	9620	4407	14637	7303	4991
ENSG00000173114	217	44	86	141	168	31	106	92	671	1
ENSG00000173120	10318	6847	4400	3757	5063	9555	5969	8543	11190	1190
ENSG00000173124	5	0	1	7	1	10	0	1	8	0
ENSG00000173137	446	614	708	1003	517	585	394	625	750	651
ENSG00000173141	1920	2697	2676	1988	3089	1652	1391	3448	1499	2283
ENSG00000173145	2430	783	759	755	801	2485	944	2823	2094	386
ENSG00000173153	1006	1150	1258	893	2418	1384	704	2940	1169	398
ENSG00000173156	1660	2685	2778	3431	1674	1044	831	4035	2429	2180
ENSG00000173157	19	19	1	3	1	3	1	0	1	4
ENSG00000173163	1352	2151	1812	1883	2272	1469	1304	3557	1414	2947
ENSG00000173166	232	27	27	26	90	120	118	78	308	15
ENSG00000173171	873	649	750	649	447	1063	482	1353	801	82
ENSG00000173175	1249	60	463	1419	149	2801	742	1434	539	248
ENSG00000173193	1585	537	437	136	1549	2070	2337	1546	2193	224
ENSG00000173198	10	1	3	5	154	49	68	2	15	13
ENSG00000173200	18	0	3	9	29	7	19	21	22	6
ENSG00000173207	1786	684	1287	1208	984	2183	1060	2233	1724	1631
ENSG00000173208	2	4	2	4	33	7	17	0	10	2
ENSG00000173209	3095	1453	1322	1744	1693	3436	1988	2421	4445	703
ENSG00000173210	73	15	30	471	1705	1751	1530	186	79	1622
ENSG00000173212	77	0	0	1	1	0	0	4	1	4
ENSG00000173213	1	0	20	4	6	30	31	22	21	50
ENSG00000173214	360	137	144	61	285	214	197	128	361	103
ENSG00000173218	1717	1288	1265	1102	1113	2690	1276	1226	2885	274
ENSG00000173221	122	41	139	99	1900	174	111	250	64	88
ENSG00000173226	1931	405	662	912	1021	1466	1601	2333	2489	255
ENSG00000173227	42	17	122	98	38	8	274	683	1271	391
ENSG00000173230	9589	1675	2966	3561	4275	7086	8309	7923	11747	6093
ENSG00000173231	0	0	0	0	0	0	0	1	0	0
ENSG00000173237	0	0	0	0	0	0	0	5	0	0
ENSG00000173239	0	0	34	0	0	0	0	15	0	0
ENSG00000173250	0	0	1	2	0	2	0	0	0	0
ENSG00000173253	205	47	461	147	464	394	2	575	1718	4
ENSG00000173258	158	115	92	114	66	86	122	194	250	263
ENSG00000173261	28	76	34	52	37	47	8	54	41	21
ENSG00000173262	4	2	5	4	6	32	1	8	3	2
ENSG00000173264	3038	1929	2272	2820	2270	2118	1529	2882	2894	3104
ENSG00000173267	126	243	46	151	354	348	176	653	41	7854
ENSG00000173269	978	410	212	771	3627	2432	2112	995	967	695
ENSG00000173272	3520	3700	3741	3231	2999	2555	1062	5481	1775	7357
ENSG00000173273	7433	3409	2220	2464	2091	5235	4489	3277	6351	1053
ENSG00000173275	565	330	332	249	306	426	429	390	816	134
ENSG00000173276	943	504	484	269	853	607	714	1668	1137	305
ENSG00000173281	1420	1221	1175	1387	1595	2045	1317	936	1237	101
ENSG00000173285	0	0	0	0	0	0	0	0	0	0
ENSG00000173295	315	410	151	128	71	63	115	291	228	75
ENSG00000173302	0	0	0	1	0	0	0	0	0	1
ENSG00000173320	125	8	203	68	186	2380	25	225	305	41
ENSG00000173327	2358	1521	2028	2456	3245	3323	2083	3616	2256	2053
ENSG00000173334	931	309	331	4039	2427	1020	238	1854	300	459
ENSG00000173335	0	0	0	1	0	0	0	0	0	1
ENSG00000173338	26	17	44	25	29	16	10	67	10	140
ENSG00000173349	0	0	0	0	0	0	0	0	0	0
ENSG00000173357	0	0	0	0	0	0	0	3	0	0
ENSG00000173366	0	0	0	0	2	0	0	0	0	0
ENSG00000173369	126	61	183	617	2621	1219	1277	3242	375	3480
ENSG00000173372	150	98	202	930	2867	1414	1367	3671	405	8508
ENSG00000173376	883	17	28	6	523	49	84	52	2214	253
ENSG00000173389	0	4	0	0	0	2	0	0	2	0
ENSG00000173391	0	0	9	3	275	11	3	76	7	1
ENSG00000173401	70	19	10	5	27	97	17	18	66	14
ENSG00000173402	5810	3253	3379	4657	6915	8407	4229	7298	6565	2499
ENSG00000173404	3	1	1	0	1	0	2	3	322	3
ENSG00000173406	293	745	10	789	33	60	770	68	121	17
ENSG00000173409	1167	1567	1148	780	660	1799	984	940	1226	186
ENSG00000173418	2573	2070	2203	1596	1902	3183	1546	3785	2695	706
ENSG00000173421	46	4	25	49	169	24	425	42	90	15
ENSG00000173431	0	0	0	0	0	0	0	0	0	0
ENSG00000173432	0	2	3	7	494	0	13	38	9	17
ENSG00000173436	692	1414	2270	1679	1306	1622	5542	3177	1314	5220
ENSG00000173442	7866	3986	3327	5773	15365	7892	4587	12213	6688	8645
ENSG00000173451	876	340	374	366	533	988	796	352	358	182
ENSG00000173452	0	0	1	0	0	0	1	0	0	0
ENSG00000173456	3126	1571	2095	2178	1853	2651	1460	3837	3822	759
ENSG00000173457	3767	12344	5695	5457	5606	3837	1556	9686	2526	6370
ENSG00000173464	0	0	0	0	0	0	0	0	0	0
ENSG00000173465	1142	1102	910	1324	906	995	433	2443	1006	2263
ENSG00000173467	0	1	16	0	0	0	1	12	1	3
ENSG00000173473	8599	2748	3853	4208	4215	12566	6996	11380	5185	2365
ENSG00000173480	582	232	199	266	205	367	358	258	656	132
ENSG00000173482	3350	2944	2318	1683	3426	1619	9985	2812	9366	744
ENSG00000173486	2645	6219	6477	4626	3910	3092	2189	6985	2679	20470
ENSG00000173511	3262	9549	5722	7262	6064	5225	2880	7359	5464	10135
ENSG00000173517	4092	1298	902	1724	2388	5045	5390	2483	5676	312
ENSG00000173530	459	1642	331	150	341	524	360	1372	1055	35
ENSG00000173531	807	328	596	1575	594	1102	729	628	571	343
ENSG00000173535	48	7	75	36	32	62	128	65	24	166
ENSG00000173540	554	401	480	793	1052	1165	557	1345	750	600
ENSG00000173542	2506	1573	1176	1030	991	2456	1819	1576	2788	396
ENSG00000173545	1860	556	1274	2079	1372	1862	1154	3297	1613	3459
ENSG00000173546	2532	4484	1663	2428	6738	5128	3278	10454	3695	15455
ENSG00000173548	3076	2252	2263	1295	2163	3414	4417	3913	2391	1735
ENSG00000173557	56	57	123	111	39	23	65	92	101	102
ENSG00000173559	712	308	225	352	276	638	294	1059	563	64
ENSG00000173567	17	7	19	11	23	13	28	27	22	21
ENSG00000173572	0	0	1	6	0	0	0	0	0	3
ENSG00000173575	7632	3613	3194	3034	3442	8034	5559	5989	9800	1334
ENSG00000173578	1	0	0	0	9	1	4	5	1	6
ENSG00000173581	1731	3565	3298	4935	1698	2489	1516	3851	2066	6825
ENSG00000173585	0	0	0	2	1	4	0	0	0	0
ENSG00000173588	1185	831	945	558	702	1410	949	1286	1376	113
ENSG00000173597	9	0	3	3	5	4	598	18	5	9
ENSG00000173598	5781	1698	1636	5749	3193	4602	3811	1270	1882	2574
ENSG00000173599	913	422	591	981	636	1073	479	1748	1421	1305
ENSG00000173610	0	0	1	1	0	0	0	0	33	1
ENSG00000173611	1437	581	664	445	562	1148	582	387	826	291
ENSG00000173612	0	0	0	0	0	0	0	0	0	0
ENSG00000173614	756	479	684	850	568	1576	927	797	922	612
ENSG00000173621	1751	2651	2356	3107	1309	1660	744	2867	2478	1983
ENSG00000173626	2	1	0	0	2	2	0	0	0	0
ENSG00000173627	0	0	0	0	0	0	0	0	0	2
ENSG00000173638	3202	1146	913	2046	1319	1933	514	3114	1520	1560
ENSG00000173641	48	647	26	20	32900	196	41	1546	171	208
ENSG00000173653	767	796	1001	1098	919	1281	666	1931	1350	462
ENSG00000173660	6136	8526	9389	10441	6836	12036	6185	21586	6919	7892
ENSG00000173662	5	14	2	17	30	13	7	26	10	77
ENSG00000173673	8	3	4	2	16	1	0	1	23	0
ENSG00000173674	7020	2586	3034	2087	3293	5656	2542	4270	5822	2012
ENSG00000173678	0	0	0	0	1	0	0	0	0	0
ENSG00000173679	0	0	0	1	0	0	0	0	0	0
ENSG00000173681	1510	423	557	384	447	917	726	573	1401	82
ENSG00000173692	6083	3170	3352	3641	6109	5359	3262	7538	7375	3752
ENSG00000173698	80	27	18	44	105	31	35	24	46	10
ENSG00000173699	0	0	0	2	0	9	0	3	0	0
ENSG00000173702	1	0	1	3	0	2	2	6	0	0
ENSG00000173705	287	42	206	181	302	192	250	905	228	48
ENSG00000173706	5579	446	181	513	3980	6183	2252	1519	2306	292
ENSG00000173714	61	11	37	27	119	42	81	221	58	311
ENSG00000173715	352	1057	1479	346	233	331	169	679	460	255
ENSG00000173726	24631	7324	7841	11232	6847	21478	11762	21134	15861	6700
ENSG00000173727	289	556	439	657	307	699	555	758	729	445
ENSG00000173728	2	8	4	3	1	3	4	1	5	0
ENSG00000173744	3743	1310	1540	1275	2493	2800	2222	3409	4241	1111
ENSG00000173757	4410	2023	2059	1479	3485	4175	3867	4757	4921	676
ENSG00000173762	3705	195	3300	39	1521	117	104	3448	211	2318
ENSG00000173769	1	1	0	2	0	0	0	0	0	0
ENSG00000173786	10593	6915	6760	8537	6852	10944	7262	15518	6688	2938
ENSG00000173801	11606	15168	20294	8234	8857	13044	8319	18780	11795	7690
ENSG00000173805	21	26	14	84	12	11	4	60	9	347
ENSG00000173809	50	10	18	19	4	25	18	5	52	17
ENSG00000173810	0	0	0	0	0	0	0	2	1	0
ENSG00000173811	7	3	17	24	23	16	7	33	7	7
ENSG00000173812	32617	27933	26357	28023	35917	31026	24454	56588	32652	26543
ENSG00000173818	1266	760	800	1302	822	991	735	1592	800	1147
ENSG00000173821	7164	4067	4280	3725	2887	6888	6017	4168	11233	1671
ENSG00000173825	37	120	77	61	12	31	15	45	96	80
ENSG00000173826	4	3	8	5	0	0	0	16	14	9
ENSG00000173838	15	82	159	48	6	7	9	33	15	8
ENSG00000173846	183	582	346	232	1128	393	282	1955	554	57
ENSG00000173848	13305	1294	13187	10527	4699	5755	21513	23017	10680	4661
ENSG00000173852	5634	1071	1623	1656	2360	2218	2965	1568	7768	455
ENSG00000173862	8	10	0	2	2	2	0	1	7	1
ENSG00000173867	19	21	21	30	12	32	14	23	30	1
ENSG00000173868	25	7	27	72	697	495	16	82	11	24
ENSG00000173875	2233	1265	1165	1063	1034	1491	1870	1656	3257	961
ENSG00000173889	2870	549	450	621	880	2300	2005	1258	3297	530
ENSG00000173890	51	32	96	30	79	112	70	32	62	43
ENSG00000173894	6090	1353	1732	2499	2423	3937	819	2922	4721	1135
ENSG00000173898	874	226	4545	951	275	1268	405	1280	2486	158
ENSG00000173905	6479	984	832	1636	2616	3019	6207	1694	12152	779
ENSG00000173908	0	0	0	0	0	0	0	0	0	2
ENSG00000173914	2174	1425	1539	1355	1108	2162	1426	1150	1809	321
ENSG00000173915	3076	4037	3406	3995	4313	3400	1869	7362	2478	9812
ENSG00000173917	2362	586	617	2252	1368	2721	56	1333	4009	357
ENSG00000173918	4176	10832	1118	1683	3606	1800	3414	12386	1476	4753
ENSG00000173926	183	66	95	848	225	231	63	280	46	83
ENSG00000173928	304	199	168	333	120	387	164	237	189	187
ENSG00000173930	341	0	29	1	0	47	3	16	6	1
ENSG00000173933	2013	473	725	979	877	1719	734	1532	1444	570
ENSG00000173947	226	237	700	241	132	690	197	913	677	1063
ENSG00000173950	5560	2106	2013	3665	2257	4537	2602	4650	3769	1160
ENSG00000173954	0	0	0	0	0	0	0	0	0	0
ENSG00000173960	1301	1175	1070	511	1136	1740	1512	1555	1623	313
ENSG00000173966	0	0	0	0	0	0	0	0	0	0
ENSG00000173976	0	1	0	0	0	1	0	0	1	4
ENSG00000173988	100	24	18	18	35	4	41	4	65	0
ENSG00000173991	294	334	57	213	115941	130	111	132	75	3943
ENSG00000173992	3087	3110	4093	5947	2953	3919	1807	6696	3532	8430
ENSG00000174004	253	10	33	195	363	371	269	121	94	39
ENSG00000174007	863	62	190	270	229	632	310	193	444	108
ENSG00000174010	1984	597	427	545	746	1856	1464	1639	1624	642
ENSG00000174013	1403	355	603	863	745	1591	856	1046	1540	287
ENSG00000174015	0	24	1	4	0	1	15	0	2	9
ENSG00000174016	19	4	1	3	0	0	14	0	0	0
ENSG00000174021	1154	2397	2409	2418	3303	2237	1856	4958	1996	997
ENSG00000174028	105	9	7	7	33	61	70	44	139	1
ENSG00000174032	969	635	556	465	594	1044	800	474	1268	214
ENSG00000174038	3	2	1	2	1	0	3	0	6	2
ENSG00000174059	2071	332	545	2999	11233	7517	6120	2111	2058	2698
ENSG00000174080	8578	3004	5451	10604	5751	11005	9567	13731	11383	8366
ENSG00000174099	4238	3059	2566	1455	2521	8060	5511	2699	8927	1229
ENSG00000174106	3159	1191	1384	794	1482	4326	2002	1518	3762	756
ENSG00000174109	1207	539	752	1300	1096	864	507	1677	921	880
ENSG00000174123	0	0	1	2	4	1	8	3	2	2
ENSG00000174125	31	75	39	28	108	45	247	168	559	12
ENSG00000174130	21	9	19	4	27	26	39	21	46	12
ENSG00000174132	781	913	581	645	997	780	1001	1131	1045	780
ENSG00000174136	1054	1388	1008	946	1315	762	590	1359	3894	2107
ENSG00000174137	380	43	162	216	246	236	183	185	237	106
ENSG00000174145	0	9	0	0	2	0	0	1	0	0
ENSG00000174151	582	675	567	573	560	1008	969	837	1190	402
ENSG00000174156	0	0	0	0	0	0	0	0	0	2
ENSG00000174165	1797	1273	1660	1396	1239	1375	908	1548	2218	1474
ENSG00000174171	3	0	2	1	2	1	3	5	0	38
ENSG00000174173	1990	589	650	1404	787	1611	796	2595	1798	787
ENSG00000174175	1	0	1	49	467	2	149	45	1	23
ENSG00000174177	1172	1113	580	1756	997	1034	614	1751	527	905
ENSG00000174197	6995	2252	2350	1543	2016	5375	4108	3265	5881	721
ENSG00000174206	966	589	374	296	438	536	551	437	857	127
ENSG00000174225	10	2	4	0	7	8	7	0	16	0
ENSG00000174226	1	5	5	3	6	6	5	2	7	0
ENSG00000174227	3000	1053	1301	1036	1631	2698	1530	2086	3983	839
ENSG00000174231	33937	12285	7795	11351	12832	21203	17374	21849	33652	6456
ENSG00000174233	6241	3568	2303	3545	4513	6333	5337	2945	6781	656
ENSG00000174236	30	31	16	7	14	9	11	11	26	1
ENSG00000174238	4630	2206	2114	2442	3126	3872	3126	6600	5365	1649
ENSG00000174243	10543	3407	5222	5293	9383	7956	6415	10169	10600	2712
ENSG00000174255	0	0	0	5	1	0	7	3	3	0
ENSG00000174276	887	1047	1042	1435	638	736	306	1203	830	1972
ENSG00000174279	1	0	1	0	17	1	1	1	1931	5
ENSG00000174282	8716	3207	2909	4381	4526	6158	10130	6279	13868	4761
ENSG00000174292	315	334	465	226	172	242	473	959	742	271
ENSG00000174306	2419	1025	1137	1500	1792	3737	2014	3355	2534	1692
ENSG00000174307	388	2919	2095	621	5107	1247	437	1727	1550	1454
ENSG00000174325	0	1	0	1	0	2	0	0	4	0
ENSG00000174326	443	99	174	591	223	197	115	965	227	152
ENSG00000174327	280	40	82	68	104	143	96	154	151	11
ENSG00000174332	545	87	210	452	698	1425	3227	459	2186	933
ENSG00000174339	0	0	0	1	0	0	0	0	0	0
ENSG00000174343	0	0	0	0	15	0	0	4	1	6
ENSG00000174348	269	33	207	291	2566	646	687	598	822	47
ENSG00000174353	166	45	56	39	56	149	84	114	158	17
ENSG00000174358	4	7	2	0	10	3	1	5	1	3
ENSG00000174365	871	394	593	1005	501	656	570	1079	941	719
ENSG00000174370	56	51	39	13	39	22	49	72	77	39
ENSG00000174371	490	174	269	161	241	384	161	554	197	75
ENSG00000174373	2281	1011	539	501	520	1733	1267	873	1962	184
ENSG00000174384	9	5	4	5	0	6	16	8	9	0
ENSG00000174403	265	11	19	4	554	180	55	97	551	360
ENSG00000174405	1255	513	343	259	570	1267	659	354	982	211
ENSG00000174407	3	0	0	0	2080	5	2	1	22	4
ENSG00000174408	0	0	0	0	0	0	1	0	0	0
ENSG00000174417	1	0	0	0	0	1	0	0	1	0
ENSG00000174418	1	0	1	0	0	1	0	4	1	1
ENSG00000174428	684	181	430	470	346	610	514	880	539	257
ENSG00000174429	0	0	0	4	1489	0	0	0	0	2
ENSG00000174437	15934	5521	4723	3418	32410	12604	7902	8800	21365	1269
ENSG00000174442	1709	772	945	792	646	1479	811	1208	1372	489
ENSG00000174444	257242	263441	268264	269337	115210	298241	146031	436196	149815	186314
ENSG00000174446	1688	884	1064	934	983	1401	940	1980	1452	1130
ENSG00000174448	25	13	8	6	4	13	5	21	29	9
ENSG00000174450	0	0	1	12	0	0	0	0	0	15
ENSG00000174453	2	0	0	0	0	0	4	3	1	0
ENSG00000174456	1642	624	780	1074	1160	1268	859	1091	861	510
ENSG00000174460	51	5	23	7	258	8	22	56	6	17
ENSG00000174469	1010	231	588	5	23	0	186	34	155	15
ENSG00000174473	333	2	33	13	27	2	3	16	47	9
ENSG00000174482	2	19	1	2	2	0	145	0	56	0
ENSG00000174483	306	71	78	125	83	259	147	116	281	57
ENSG00000174485	2590	1213	1000	1057	1051	2281	2043	2675	3864	690
ENSG00000174495	1	0	2	0	0	0	0	1	0	0
ENSG00000174498	230	207	36	231	85	142	93	107	45	353
ENSG00000174500	18	11	1	5	12	23	13	48	54	0
ENSG00000174501	410	102	120	71	90	174	256	140	431	5
ENSG00000174502	10	0	29	3	5	45	5	79	4	8
ENSG00000174514	486	198	200	128	244	406	265	435	487	229
ENSG00000174516	587	378	630	804	588	484	457	1071	569	1123
ENSG00000174521	3	5	11	12	16	10	5	13	13	10
ENSG00000174527	10	1	4	16	28	6	4	7	10	20
ENSG00000174529	146	203	160	216	246	252	176	180	121	66
ENSG00000174547	3592	1730	2844	3949	2528	3020	1410	5555	2112	3566
ENSG00000174562	0	0	2	2	1	0	0	0	0	0
ENSG00000174564	27	12	9	28	56	14	31	81	55	41
ENSG00000174567	4	206	51	6	2	15	149	170	7	597
ENSG00000174572	4	0	3	0	2	2	2	5	1	0
ENSG00000174574	1522	1079	1328	1219	2001	2979	1997	4000	3638	376
ENSG00000174576	2	6	1	1	11	1	0	4	2	5
ENSG00000174579	4238	590	899	1690	1461	3860	2727	2482	3439	586
ENSG00000174586	569	117	199	319	154	593	281	270	515	219
ENSG00000174599	1529	169	472	647	437	715	1294	541	1338	324
ENSG00000174600	53	30	70	39	908	235	124	193	110	156
ENSG00000174606	3268	1318	1261	1171	1088	3800	1664	1570	3655	597
ENSG00000174607	125	442	7	0	4	2	6	9	3	0
ENSG00000174611	2	2	1	5	25	1	3	17	0	8
ENSG00000174628	394	136	265	95	223	341	210	202	311	10
ENSG00000174640	833	492	366	183	2647	16471	946	3205	1903	379
ENSG00000174652	2060	1680	1065	1116	700	1833	1765	2883	2282	1191
ENSG00000174667	0	0	0	1	0	0	0	1	0	0
ENSG00000174669	845	249	1010	478	1232	438	128	636	360	265
ENSG00000174672	140	287	222	258	99	15	53	113	229	596
ENSG00000174677	1	0	0	0	0	0	0	0	0	2
ENSG00000174678	0	0	1	3	0	0	0	0	0	1
ENSG00000174680	6	10	4	8	6	1	5	7	10	4
